ID	LICENSE ID	ACCOUNT NUMBER	SITE NUMBER	LEGAL NAME	DOING BUSINESS AS NAME	ADDRESS	CITY	STATE	ZIP CODE	WARD	PRECINCT	WARD PRECINCT	POLICE DISTRICT	LICENSE CODE	LICENSE DESCRIPTION	BUSINESS ACTIVITY ID	BUSINESS ACTIVITY	LICENSE NUMBER	APPLICATION TYPE	APPLICATION CREATED DATE	APPLICATION REQUIREMENTS COMPLETE	PAYMENT DATE	CONDITIONAL APPROVAL	LICENSE TERM START DATE	LICENSE TERM EXPIRATION DATE	LICENSE APPROVED FOR ISSUANCE	DATE ISSUED	LICENSE STATUS	LICENSE STATUS CHANGE DATE	SSA	LATITUDE	LONGITUDE	LOCATION
23031-20150416	2381380	63414	12	STARBUCKS CORPORATION	STARBUCKS COFFEE #216	401 E ONTARIO ST  1ST	CHICAGO	IL	60611	42	65	42-65	18	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	23031	RENEW		02/15/2015	03/16/2015	N	04/16/2015	04/15/2017	03/16/2015	03/18/2015	AAC	08/31/2016		41.893341296	-87.617589151	(41.893341296312244, -87.61758915120579)
2147568-20120427	2147568	63414	154	STARBUCKS CORPORATION	STARBUCKS COFFEE #22949	200 N MICHIGAN AVE 1 1	CHICAGO	IL	60604	42	9	42-9	1	1010	Limited Business License			2147568	ISSUE	04/06/2012	04/13/2012	04/27/2012	N	04/27/2012	04/15/2013	04/27/2012	04/27/2012	AAC	08/31/2012		41.885801546	-87.624659771	(41.885801546318, -87.62465977106316)
1573094-20150416	2381453	63414	106	STARBUCKS CORPORATION	STARBUCKS COFFEE #9426	520 N OGDEN AVE	CHICAGO	IL	60642	1	53	1-53	12	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1573094	RENEW		02/15/2015	03/16/2015	N	04/16/2015	04/15/2017	03/16/2015	03/18/2015	AAC	08/31/2016		41.891769778	-87.658604614	(41.89176977820589, -87.65860461424934)
1124102-20150416	2381431	63414	77	STARBUCKS CORPORATION	STARBUCKS COFFEE #2510	414 N ORLEANS ST	CHICAGO	IL	60610	42	67	42-67	18	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	1124102	RENEW		02/15/2015	03/16/2015	N	04/16/2015	04/15/2017	03/16/2015	03/18/2015	AAC	08/31/2016		41.889682961	-87.637120956	(41.889682960687374, -87.63712095614753)
2147567-20120515	2147567	63414	154	STARBUCKS CORPORATION	STARBUCKS COFFEE #22949	200 N MICHIGAN AVE 1 1	CHICAGO	IL	60604	42	9	42-9	1	1006	Retail Food Establishment			2147567	ISSUE	04/06/2012	04/13/2012	04/27/2012	N	05/15/2012	04/15/2013	05/14/2012	05/15/2012	AAC	03/29/2016		41.885801546	-87.624659771	(41.885801546318, -87.62465977106316)
2089469-20150416	2381475	63414	147	STARBUCKS CORPORATION	STARBUCKS COFFEE #15683	8 N MICHIGAN AVE 1 1	CHICAGO	IL	60602	42	9	42-9	1	1006	Retail Food Establishment	775	Retail Sales of Perishable Foods	2089469	RENEW		02/15/2015	03/18/2015	N	04/16/2015	04/15/2017	03/18/2015	03/18/2015	AAC	08/31/2016		41.882288177	-87.624517791	(41.882288176801794, -87.62451779096743)
2341107-20150416	2381492	63414	167	STARBUCKS CORPORATION	Starbucks Coffee #22423	211 W SCOTT ST 1ST	CHICAGO	IL	60610	2		2-		1006	Retail Food Establishment	781	Sale of Food Prepared Onsite With Dining Area	2341107	RENEW		02/15/2015	03/18/2015	N	04/16/2015	04/15/2017	03/18/2015	03/18/2015	AAC	08/31/2016		41.90483115	-87.635027745	(41.90483115028203, -87.63502774510842)
1494404-20040614	1494404	81494	4	URBAN COFFEE OPPORTUNITIES, LLC	STARBUCKS COFFEE #2624	7101 S STONY ISLAND AVE	CHICAGO	IL	60649	5	49	5-49	3	1010	Limited Business License			1494404	ISSUE	06/03/2004	06/10/2004	06/11/2004	N	06/14/2004	08/15/2004	06/11/2004	06/14/2004	AAI		42	41.765936859	-87.585772423	(41.76593685872762, -87.58577242335306)
23054-20030516	1349048	63414	22	STARBUCKS CORPORATION	STARBUCKS COFFEE #2201	1023  -01025 W ADDISON ST  1ST	CHICAGO	IL	60613	44	31	44-31	19	1010	Limited Business License			23054	RENEW		03/25/2003	05/15/2003	N	05/16/2003	05/15/2004	05/15/2003	05/15/2003	AAI		17	41.94711896	-87.655302451	(41.947118959575704, -87.65530245115706)
1330102-20121116	2187058	257230	1	GAS N GO, INC.	GRAND CITGO/ MR. SUB / DUNKIN DONUTS	1535 W GRAND AVE	CHICAGO	IL	60642	1	7	1-7	12	1275	Filling Station	666	Operation of a Fuel Filling Station	1330102	RENEW		09/14/2012	11/12/2012	N	11/16/2012	11/15/2014	11/12/2012	11/16/2012	AAI			41.890867765	-87.666979759	(41.89086776499436, -87.66697975929355)
