,DOING BUSINESS AS NAME,LEGAL NAME,LATITUDE,LONGITUDE,espresso
0,ACE COFFEE BAR,"ACE COFFEE BAR, INC.",41.84299599,-87.695309306,espressno
1,ACE COFFEE BAR INC,"ACE COFFEE BAR, INC.",41.941426293,-87.690799301,espressno
2,ACE COFFEE BAR INC,"ACE COFFEE BAR, INC.",41.866905838,-87.673315916,espressno
3,ACE COFFEE BAR INC,"ACE COFFEE BAR, INC.",41.863501352,-87.64220950100001,espressno
4,ACE COFFEE BAR INC.,"ACE COFFEE BAR, INC.",41.803731033000005,-87.622545075,espressno
5,"ACE COFFEE BAR, INC.","ACE COFFEE BAR, INC.",41.808085352,-87.71539543700001,espressno
6,"ACE COFFEE BAR, INC.","ACE COFFEE BAR, INC.",41.883715076,-87.65106665,espressno
7,BEAVERS COFFEE & DONUTS,"AFTER HOURS PIZZA, LLC",41.894086944,-87.635142233,espressno
8,BEAVERS COFFEE & DONUTS,"AFTER HOURS PIZZA, LLC",41.884187507,-87.64111966700001,espressno
9,Beaver's Coffee & Donuts,"AFTER HOURS PIZZA, LLC",41.883322199,-87.629775097,espressno
10,Beavers Coffe & Donuts,"AFTER HOURS PIZZA, LLC",41.883322199,-87.629775097,espressno
11,Beavers Coffee & Donuts,"AFTER HOURS PIZZA, LLC",41.883322199,-87.629775097,espressno
12,Beavers Coffee & Donuts,"AFTER HOURS PIZZA, LLC",41.884187507,-87.64111966700001,espressno
13,Beavers Coffee & Donuts,"AFTER HOURS PIZZA, LLC",41.858272849,-87.690847299,espressno
14,Beavers Coffee & Donuts,"AFTER HOURS PIZZA, LLC",41.889354252,-87.624102456,espressno
15,Beavers Coffee & Donuts,"AFTER HOURS PIZZA, LLC",41.89608517,-87.67313052200001,espressno
16,Beavers Coffee & Donuts,"AFTER HOURS PIZZA, LLC",41.830783661999995,-87.63529578299999,espressno
17,Beavers Coffee & Donuts,"AFTER HOURS PIZZA, LLC",41.879536168,-87.620894529,espressno
18,Beavers Coffee & Donuts,"AFTER HOURS PIZZA, LLC",41.869861078,-87.62574391700001,espressno
19,Beavers Coffee and Donuts,"AFTER HOURS PIZZA, LLC",41.883322199,-87.629775097,espressno
20,Beavers Donuts,"AFTER HOURS PIZZA, LLC",41.898965335,-87.64809026399999,espressno
21,Beavers Donuts,"AFTER HOURS PIZZA, LLC",41.883322199,-87.629775097,espressno
22,Beavers Donuts,"AFTER HOURS PIZZA, LLC",41.888074281,-87.63495520299999,espressno
23,BOW TRUSS COFFEE ROASTER,"BOW & TRUSS, LLC",41.889896545,-87.672871162,espressgo
24,BOW TRUSS COFFEE ROASTER,"BOW & TRUSS, LLC",41.953339985999996,-87.73202749100001,espressgo
25,BOW TRUSS COFFEE ROASTERS,"BOW & TRUSS, LLC",41.943324087,-87.67868133299999,espressgo
26,Bow Truss Coffee Roasters,"BOW & TRUSS, LLC",41.903407374000004,-87.670465614,espressgo
27,BowTruss Coffee Roasters,"BOW & TRUSS, LLC",41.857657044,-87.667893985,espressgo
28,CARIBOU COFFEE  #1251,"CARIBOU COFFEE COMPANY, INC.",41.878581561,-87.638578668,espressno
29,CARIBOU COFFEE  #708,"CARIBOU COFFEE COMPANY, INC.",41.941883022,-87.644605003,espressno
30,CARIBOU COFFEE CO,"CARIBOU COFFEE COMPANY, INC.",41.944048995,-87.66408160200001,espressno
31,CARIBOU COFFEE CO,"CARIBOU COFFEE COMPANY, INC.",41.918931424,-87.660894217,espressno
32,CARIBOU COFFEE CO. INC.,"CARIBOU COFFEE COMPANY, INC.",41.871774309,-87.626082794,espressno
33,CARIBOU COFFEE CO.INC.,"CARIBOU COFFEE COMPANY, INC.",41.881674757,-87.632504189,espressno
34,CARIBOU COFFEE COMPANY,"CARIBOU COFFEE COMPANY, INC.",41.937140196,-87.648227548,espressno
35,CARIBOU COFFEE COMPANY,"CARIBOU COFFEE COMPANY, INC.",41.880598955,-87.629907391,espressno
36,CARIBOU COFFEE COMPANY,"CARIBOU COFFEE COMPANY, INC.",41.880527592,-87.635623854,espressno
37,CARIBOU COFFEE COMPANY #778,"CARIBOU COFFEE COMPANY, INC.",41.892233722,-87.640615745,espressno
38,CARIBOU COFFEE COMPANY INC,"CARIBOU COFFEE COMPANY, INC.",41.945503653,-87.649578514,espressno
39,CARIBOU COFFEE COMPANY INC.,"CARIBOU COFFEE COMPANY, INC.",41.864750025,-87.64699277,espressno
40,DINKY DONUTS,"DINKY DONUTS, INC.",41.88743405,-87.68184949399999,espressno
41,Dinky Donuts,"DINKY DONUTS, INC.",41.940032781,-87.649415211,espressno
42,Dinky Donuts,"DINKY DONUTS, INC.",41.884300755,-87.660440582,espressno
43,Dinky Donuts,"DINKY DONUTS, INC.",41.967457462,-87.68764980200001,espressno
44,Dinky Donuts,"DINKY DONUTS, INC.",41.956026014,-87.678959761,espressno
45,Dinky Donuts,"DINKY DONUTS, INC.",41.939681194,-87.678478773,espressno
46,Dinky Donuts,"DINKY DONUTS, INC.",41.928533255,-87.702483159,espressno
47,Dinky Donuts,"DINKY DONUTS, INC.",41.938054245,-87.64418657600001,espressno
48,Dinky Donuts,"DINKY DONUTS, INC.",41.940001076,-87.654255859,espressno
49,Dinky Donuts,"DINKY DONUTS, INC.",41.990006895,-87.67014317299999,espressno
50,"Dinky Donuts, Inc","DINKY DONUTS, INC.",41.799653784,-87.58904895299999,espressno
51,"Dinky Donuts, Inc.","DINKY DONUTS, INC.",41.990049713000005,-87.660120597,espressno
52,"Dinky Donuts, Inc.","DINKY DONUTS, INC.",41.928533255,-87.702483159,espressno
53,"Dinky Donuts, Inc.","DINKY DONUTS, INC.",41.939688737,-87.668823446,espressno
